arxiv_id,role,paired_with,known_duplicator,veredicto,d1_top5,d1_match_cf,d1_match_ci,d1_llm_verdict,d2_trivial,d2_tactic,d3_jaccard,d3_source,formalization_success,formalization_path,formalization_model,formalization_mode,formalization_errors,fidelity_check,error,author_fidelity
1609.02090v1,retracted,,"Hardy & Littlewood, Partitio Numerorum VIII — γ(4)=15 por método analítico; el retirado lo reproduce con métodos elementales",NOVEDAD_ENUNCIADO,"[{""title"": ""The Clifford-cyclotomic group and Euler-Poincar\u00e9 characteristics"", ""arxiv_id"": ""1903.09497"", ""score"": 0.641, ""source"": ""theoremsearch""}, {""title"": ""A periodic approach to plane partition congruences"", ""arxiv_id"": ""1507.02260"", ""score"": 0.629, ""source"": ""theoremsearch""}, {""title"": ""Spinor representations of positive definite ternary quadratic forms"", ""arxiv_id"": ""1611.06116"", ""score"": 0.62, ""source"": ""theoremsearch""}, {""title"": ""On the minimum weights of binary linear complementary dual codes"", ""arxiv_id"": ""1807.03525"", ""score"": 0.618, ""source"": ""theoremsearch""}, {""title"": ""An Elementary Proof of the Minimal Euclidean Function on the Gaussian Integers"", ""arxiv_id"": ""2205.14043"", ""score"": 0.617, ""source"": ""theoremsearch""}]",,,different,False,,,,True,D:\Mis documentos\Documentos\AViD Journal\results\formalizations\1609_02090v1.lean,opencode/qwen3.7-max,statement_only,,"{""verdict"": ""error"", ""reasoning"": ""Expecting property name enclosed in double quotes: line 1 column 2 (char 1)""}",,fiel
1207.0631v1,retracted,,"Result already published with similar proof (Fillmore, 1969?)",CONOCIDO_LITERATURA,"[{""title"": ""Sums and products of square-zero matrices"", ""arxiv_id"": ""1804.02140"", ""score"": 0.793, ""source"": ""theoremsearch""}, {""title"": ""Filmor Theorem for integers"", ""arxiv_id"": ""1704.08037"", ""score"": 0.756, ""source"": ""theoremsearch""}, {""title"": ""Filmor Theorem for integers"", ""arxiv_id"": ""1704.08037"", ""score"": 0.694, ""source"": ""theoremsearch""}, {""title"": ""On the Waring Problem for Matrices over Finite Fields"", ""arxiv_id"": ""2505.11805"", ""score"": 0.679, ""source"": ""theoremsearch""}, {""title"": ""On Fillmore's theorem extended by Borobia"", ""arxiv_id"": ""1804.05738"", ""score"": 0.677, ""source"": ""theoremsearch""}]",,"{""paper_id"": ""26236424"", ""title"": ""Sums and products of square-zero matrices"", ""block_title"": ""Sums and products of square-zero matrices"", ""similarity"": 0.7057030200958252, ""arxiv_id"": ""1804.02140"", ""judge_confidence"": 0.95, ""judge_reasoning"": ""Both statements assert the same condition for similarity to a matrix with a given diagonal: the sum of diagonal entries must equal the trace of the matrix, for any non-scalar matrix over a field.""}",equivalent,False,,,,True,D:\Mis documentos\Documentos\AViD Journal\results\formalizations\1207_0631v1.lean,opencode/qwen3.7-max,statement_only,Compilation timed out (300s) (attempt 1),"{""verdict"": ""error"", ""reasoning"": ""Expecting property name enclosed in double quotes: line 1 column 2 (char 1)""}",,fiel
1212.0196v1,retracted,,Monsky (well-known result on congruent numbers),NOVEDAD_ENUNCIADO,"[{""title"": ""Congruent Numbers and Heegner Points"", ""arxiv_id"": ""1210.8231"", ""score"": 0.674, ""source"": ""theoremsearch""}, {""title"": ""Generalization of Some Arithmetical Properties of Fermat-Euler Dynamical Systems"", ""arxiv_id"": ""0910.5704"", ""score"": 0.651, ""source"": ""theoremsearch""}, {""title"": ""The even parity Goldfeld conjecture: congruent number elliptic curves"", ""arxiv_id"": ""2104.06732"", ""score"": 0.647, ""source"": ""theoremsearch""}, {""title"": ""On a class of quaternary complex Hadamard matrices"", ""arxiv_id"": ""1709.02873"", ""score"": 0.635, ""source"": ""theoremsearch""}]",,,,False,,,,True,D:\Mis documentos\Documentos\AViD Journal\results\formalizations\1212_0196v1.lean,opencode/qwen3.7-max,statement_only,"Compilation error (attempt 1): D:\Mis documentos\Documentos\AViD Journal\results\formalizations\1212_0196v1.lean:10:43: error: Application type mismatch: The argument
  ↑(p j)
has type
  ℤ
but is expected to have type
  ℕ
in the ap | Compilation error (attempt 2): D:\Mis documentos\Documentos\AViD Journal\results\formalizations\1212_0196v1.lean:9:31: error(lean.synthInstanceFailed): failed to synthesize instance of type class
  Fact (Nat.Prime (p j))

Hint: Typ","{""verdict"": ""error"", ""reasoning"": ""Expecting property name enclosed in double quotes: line 1 column 2 (char 1)""}",,fiel
1004.3381v1,retracted,,Gyárfás & Lehel (1970) — d-separated interval piercing,NOVEDAD_ENUNCIADO,,,,,False,,,,True,D:/Mis documentos/Documentos/AViD Journal/results/formalizations/1004_3381v1.lean,opencode/qwen3.7-max,statement_only,API error (attempt 1): API call failed after 3 attempts: None | API error (attempt 2): API call failed after 3 attempts: None | API error (attempt 3): API call failed after 3 attempts: None,,API error (attempt 1): API call failed after 3 attempts: None | API error (attempt 2): API call failed after 3 attempts: None | API error (attempt 3): API call failed after 3 attempts: None,fiel
math/0604362v1,retracted,,desconocido — posiblemente ya conocido en literatura de mixing times (LPW?),FORMALIZATION_FAILED,,,,,,,,,False,,opencode/qwen3.7-max,statement_only,API error (attempt 1): API call failed after 3 attempts: None | API error (attempt 2): API call failed after 3 attempts: None | API error (attempt 3): API call failed after 3 attempts: None,"{""verdict"": ""error"", ""reasoning"": ""Expecting property name enclosed in double quotes: line 1 column 2 (char 1)""}",,no_formalizado
1501.01654v1,control,1609.02090v1,,FORMALIZATION_FAILED,,,,,,,,,False,,opencode/qwen3.7-max,statement_only,API error (attempt 1): API call failed after 3 attempts: None | API error (attempt 2): API call failed after 3 attempts: None | API error (attempt 3): API call failed after 3 attempts: None,,"API error (attempt 1): HTTPSConnectionPool(host='opencode.ai', port=443): Read timed out. (read timeout=120) | API error (attempt 2): HTTPSConnectionPool(host='opencode.ai', port=443): Read timed out. (read timeout=120) | API error (attempt 3): HTTPSConnectionPool(host='opencode.ai', port=443): Read timed out. (read timeout=120)",no_formalizado
1101.3431v2,control,1207.0631v1,,FORMALIZATION_FAILED,,,,,,,,,False,,opencode/qwen3.7-max,statement_only,API error (attempt 1): API call failed after 3 attempts: None | API error (attempt 2): API call failed after 3 attempts: None | API error (attempt 3): API call failed after 3 attempts: None,,"API error (attempt 1): HTTPSConnectionPool(host='opencode.ai', port=443): Read timed out. (read timeout=120) | API error (attempt 2): HTTPSConnectionPool(host='opencode.ai', port=443): Read timed out. (read timeout=120) | API error (attempt 3): HTTPSConnectionPool(host='opencode.ai', port=443): Read timed out. (read timeout=120)",no_formalizado
1101.3720v1,control,1212.0196v1,,NOVEDAD_ENUNCIADO,,,,,False,,,,True,D:/Mis documentos/Documentos/AViD Journal/results/formalizations/1101_3720v1.lean,opencode/qwen3.7-max,statement_only,API error (attempt 1): API call failed after 3 attempts: None | API error (attempt 2): API call failed after 3 attempts: None | API error (attempt 3): API call failed after 3 attempts: None,,API error (attempt 1): API call failed after 3 attempts: None | API error (attempt 2): API call failed after 3 attempts: None | API error (attempt 3): API call failed after 3 attempts: None,incorrecto
0904.1783v3,control,1004.3381v1,,NOVEDAD_ENUNCIADO,"[{""title"": ""Convex Hull of Planar H-Polyhedra"", ""arxiv_id"": ""0405089"", ""score"": 0.707, ""source"": ""theoremsearch""}, {""title"": ""Faces of weight polytopes and a generalization of a theorem of Vinberg"", ""arxiv_id"": ""1005.1114"", ""score"": 0.706, ""source"": ""theoremsearch""}, {""title"": ""Boundary modeling in model-based calibration for automotive engines via the vertex representation of"", ""arxiv_id"": ""1605.04552"", ""score"": 0.663, ""source"": ""theoremsearch""}]",,,,False,,,,True,D:\Mis documentos\Documentos\AViD Journal\results\formalizations\0904_1783v3.lean,opencode/qwen3.7-max,statement_only,API error (attempt 1): [Errno 22] Invalid argument,"{""verdict"": ""error"", ""reasoning"": ""Expecting property name enclosed in double quotes: line 1 column 2 (char 1)""}",,aproximación
math/0504586v2,control,math/0604362v1,,NOVEDAD_ENUNCIADO,"[{""title"": ""A survey on dynamical percolation"", ""arxiv_id"": ""0901.4760"", ""score"": 0.786, ""source"": ""theoremsearch""}, {""title"": ""Merging percolation on $Z^d$ and classical random graphs: Phase transition"", ""arxiv_id"": ""0612644"", ""score"": 0.711, ""source"": ""theoremsearch""}, {""title"": ""Ergodicity and indistinguishability in percolation theory"", ""arxiv_id"": ""1210.1548"", ""score"": 0.685, ""source"": ""theoremsearch""}, {""title"": ""Diffusion-limited annihilating-coalescing systems"", ""arxiv_id"": ""2305.19333"", ""score"": 0.671, ""source"": ""theoremsearch""}, {""title"": ""The Critical Radius in Sampling-based Motion Planning"", ""arxiv_id"": ""1709.06290"", ""score"": 0.669, ""source"": ""theoremsearch""}]",,,,False,,,,True,D:\Mis documentos\Documentos\AViD Journal\results\formalizations\math_0504586v2.lean,opencode/qwen3.7-max,statement_only,API error (attempt 1): [Errno 22] Invalid argument | API error (attempt 2): [Errno 22] Invalid argument,"{""verdict"": ""fail"", ""reasoning"": ""Unparseable: We are asked to decide whether the Lean code faithfully translates the LaTeX statement. The LaTeX statement is:\n\n\""For any graph G we have ...\"" with two cases: \n- \u03a8_p( C_t occurs for every t ) = 1 if p""}",,incorrecto
