arxiv_id,role,paired_with,title,top1_score,top1_title,top1_arxiv_id,top3_scores,top10_json,strong_match,strong_match_reason,skip_reason
0711.2941v2,retracted,0808.3225v1,Holomorphic fillability and cohomology,0.8126,On the cohomology rings of holomorphically fillable manifolds,0712.3484,"[0.8126, 0.7709, 0.7627]","[{""title"": ""On the cohomology rings of holomorphically fillable manifolds"", ""score"": 0.8126, ""arxiv_id"": ""0712.3484""}, {""title"": ""On the cohomology rings of holomorphically fillable manifolds"", ""score"": 0.7709, ""arxiv_id"": ""0712.3484""}, {""title"": ""On the cohomology rings of holomorphically fillable manifolds"", ""score"": 0.7627, ""arxiv_id"": ""0712.3484""}, {""title"": ""On the cohomology rings of holomorphically fillable manifolds"", ""score"": 0.667, ""arxiv_id"": ""0712.3484""}, {""title"": ""On the cohomology rings of holomorphically fillable manifolds"", ""score"": 0.6634, ""arxiv_id"": ""0712.3484""}, {""title"": ""Hodge theory on transversely symplectic foliations"", ""score"": 0.652, ""arxiv_id"": ""1609.00773""}, {""title"": ""Multiplicity and asymptotic profile of 2-nodal solutions to a semilinear elliptic problem on a Riema"", ""score"": 0.6329, ""arxiv_id"": ""1301.0143""}, {""title"": ""Almost-formality and deformations of representations of the fundamental groups of Sasakian manifolds"", ""score"": 0.6224, ""arxiv_id"": ""2007.14544""}, {""title"": ""Almost-formality and deformations of representations of the fundamental groups of Sasakian manifolds"", ""score"": 0.6191, ""arxiv_id"": ""2007.14544""}, {""title"": ""Multiplicity of 2-nodal solutions the Yamabe equation"", ""score"": 0.6154, ""arxiv_id"": ""2301.07817""}]",true,top-1 score 0.8126 >= 0.75,
0808.3225v1,control,0711.2941v2,"Entire curves, Integral sets and Principal bundles",0.654,Quiver varieties and the character ring of general linear groups over finite fields,1103.2759,"[0.654, 0.6513, 0.6492]","[{""title"": ""Quiver varieties and the character ring of general linear groups over finite fields"", ""score"": 0.654, ""arxiv_id"": ""1103.2759""}, {""title"": ""Generalized Holomorphic Cartan geometries"", ""score"": 0.6513, ""arxiv_id"": ""1902.06652""}, {""title"": ""Extension Phenomena for Holomorphic Geometric Structures"", ""score"": 0.6492, ""arxiv_id"": ""0812.2353""}, {""title"": ""Relative connections on Principal bundles and relative equivariant structures"", ""score"": 0.6312, ""arxiv_id"": ""2305.13763""}, {""title"": ""Definable Galois theory for bimeromorphic geometry"", ""score"": 0.6294, ""arxiv_id"": ""2508.19524""}, {""title"": ""Holomorphic Lie algebroid connections on holomorphic principal bundles on compact Riemann surfaces"", ""score"": 0.6269, ""arxiv_id"": ""2511.10994""}, {""title"": ""Relative connections on Principal bundles and relative equivariant structures"", ""score"": 0.6269, ""arxiv_id"": ""2305.13763""}, {""title"": ""Pullback of principal bundles along proper morphisms"", ""score"": 0.6265, ""arxiv_id"": ""2303.09006""}]",false,top-1 score 0.654 < 0.75,
0909.0395v3,retracted,0808.1820v2,Abelian categories arising from a maximal n-orthogonal subcategory,,,,,,false,skip: no_theorem_env,no_theorem_env
0808.1820v2,control,0909.0395v3,Sheaves of ordered spaces and interval theories,0.7465,The reductive Borel-Serre compactification as a model for unstable algebraic K-theory,2108.01924,"[0.7465, 0.7105, 0.7059]","[{""title"": ""The reductive Borel-Serre compactification as a model for unstable algebraic K-theory"", ""score"": 0.7465, ""arxiv_id"": ""2108.01924""}, {""title"": ""Descent for sheaves on compact Hausdorff spaces"", ""score"": 0.7105, ""arxiv_id"": ""2210.00186""}, {""title"": ""Towards Theory and Applications of Generalized Categories to Areas of Type Theory and Categorical Lo"", ""score"": 0.7059, ""arxiv_id"": ""1803.00180""}, {""title"": ""Flat"", ""score"": 0.7001, ""arxiv_id"": """"}, {""title"": ""Sheaves"", ""score"": 0.6871, ""arxiv_id"": """"}, {""title"": ""Global representation theory: Homological foundations"", ""score"": 0.6868, ""arxiv_id"": ""2505.21449""}, {""title"": ""Motivic colimits and extended powers"", ""score"": 0.686, ""arxiv_id"": ""2104.01057""}, {""title"": ""Quot"", ""score"": 0.6859, ""arxiv_id"": """"}]",false,top-1 score 0.7465 < 0.75,
0711.1149v2,retracted,0808.2672v1,Stein or Milnor fillability and cohomology,0.8198,On the cohomology rings of holomorphically fillable manifolds,0712.3484,"[0.8198, 0.6714, 0.6544]","[{""title"": ""On the cohomology rings of holomorphically fillable manifolds"", ""score"": 0.8198, ""arxiv_id"": ""0712.3484""}, {""title"": ""On the cohomology rings of holomorphically fillable manifolds"", ""score"": 0.6714, ""arxiv_id"": ""0712.3484""}, {""title"": ""Multiplicity and asymptotic profile of 2-nodal solutions to a semilinear elliptic problem on a Riema"", ""score"": 0.6544, ""arxiv_id"": ""1301.0143""}, {""title"": ""Lawrence-Bigelow representations, bases and duality"", ""score"": 0.6496, ""arxiv_id"": ""2011.02388""}, {""title"": ""On the cohomology rings of holomorphically fillable manifolds"", ""score"": 0.6447, ""arxiv_id"": ""0712.3484""}, {""title"": ""On the cohomology rings of holomorphically fillable manifolds"", ""score"": 0.6395, ""arxiv_id"": ""0712.3484""}, {""title"": ""The Geometry of b^k Manifolds"", ""score"": 0.6266, ""arxiv_id"": ""1304.3821""}, {""title"": ""On the cohomology rings of holomorphically fillable manifolds"", ""score"": 0.6238, ""arxiv_id"": ""0712.3484""}, {""title"": ""Multiplicity of 2-nodal solutions the Yamabe equation"", ""score"": 0.6208, ""arxiv_id"": ""2301.07817""}, {""title"": ""A functional equation for the Lefschetz zeta functions of infinite cyclic coverings with an applicat"", ""score"": 0.6157, ""arxiv_id"": ""0505531""}]",true,top-1 score 0.8198 >= 0.75,
0808.2672v1,control,0711.1149v2,Conformal dimension: Cantor sets and moduli,0.7174,Graphs that are not minimal for conformal dimension,2412.15016,"[0.7174, 0.6975, 0.6906]","[{""title"": ""Graphs that are not minimal for conformal dimension"", ""score"": 0.7174, ""arxiv_id"": ""2412.15016""}, {""title"": ""Hausdorff dimension of exceptional sets arising in $\u03b8$-expansions"", ""score"": 0.6975, ""arxiv_id"": ""2309.12662""}, {""title"": ""Hausdorff measure and decay rate of Riesz capacity"", ""score"": 0.6906, ""arxiv_id"": ""2409.03070""}, {""title"": ""On Assouad dimension and arithmetic progressions in sets defined by digit restrictions"", ""score"": 0.6845, ""arxiv_id"": ""1710.07144""}, {""title"": ""Optimal Oracles for Point-to-Set Principles"", ""score"": 0.6834, ""arxiv_id"": ""2101.11152""}, {""title"": ""Tanaka-Ito $\u03b1$-continued fractions and matching"", ""score"": 0.68, ""arxiv_id"": ""2004.14926""}, {""title"": ""The $\u03b2$-transformation with a hole at $0$: the general case"", ""score"": 0.6744, ""arxiv_id"": ""2411.03516""}, {""title"": ""A piecewise contractive dynamical system and election methods"", ""score"": 0.6739, ""arxiv_id"": ""1709.06398""}, {""title"": ""Metrical Diophantine approximation for quaternions"", ""score"": 0.6725, ""arxiv_id"": ""1109.3229""}]",false,top-1 score 0.7174 < 0.75,
math/0403201v3,retracted,math/0307046v1,Twisted cyclic cohomology of the quantum SU(2),0.6733,Hochschild homology and cohomology of down-up algebras,1609.09809,"[0.6733, 0.6529, 0.6515]","[{""title"": ""Hochschild homology and cohomology of down-up algebras"", ""score"": 0.6733, ""arxiv_id"": ""1609.09809""}, {""title"": ""Twisted homology of quantum SL(2)"", ""score"": 0.6529, ""arxiv_id"": ""0405249""}, {""title"": ""On the Hochschild cohomology of tame Hecke algebras"", ""score"": 0.6515, ""arxiv_id"": ""0906.1924""}, {""title"": ""On the Hochschild homology of elliptic Sklyanin algebras"", ""score"": 0.6389, ""arxiv_id"": ""0805.2852""}, {""title"": ""Cup Products on Hochschild Cohomology of Hopf-Galois Extensions.pdf"", ""score"": 0.6364, ""arxiv_id"": ""2502.01967""}, {""title"": ""$K$-theory equivariant with respect to an elementary abelian $2$-group"", ""score"": 0.6276, ""arxiv_id"": ""2201.03095""}, {""title"": ""The Omega spectrum for mod 2 KO-theory"", ""score"": 0.6264, ""arxiv_id"": ""1908.01437""}, {""title"": ""Quotient rings of $H\\mathbb{F}_2 \\wedge H\\mathbb{F}_2$"", ""score"": 0.6243, ""arxiv_id"": ""2103.14707""}, {""title"": ""A spectral sequence for string cohomology"", ""score"": 0.6209, ""arxiv_id"": ""0411571""}, {""title"": ""Cycles in the chamber homology of GL(3)"", ""score"": 0.6156, ""arxiv_id"": ""0410147""}]",false,top-1 score 0.6733 < 0.75,
math/0307046v1,control,math/0403201v3,Integrals in Hopf algebras over rings,,,,,,false,skip: no_theorem_env,no_theorem_env
1407.0626v2,retracted,1305.3977v1,A list analog of Vizing's Theorem for simple graphs with triangles but no other odd cycles,0.7298,Integer round-up property for the chromatic number of some h-perfect graphs,1406.0757,"[0.7298, 0.7208, 0.7005]","[{""title"": ""Integer round-up property for the chromatic number of some h-perfect graphs"", ""score"": 0.7298, ""arxiv_id"": ""1406.0757""}, {""title"": ""Integer round-up property for the chromatic number of some h-perfect graphs"", ""score"": 0.7208, ""arxiv_id"": ""1406.0757""}, {""title"": ""On Galvin orientations of line graphs and list-edge-colouring"", ""score"": 0.7005, ""arxiv_id"": ""1508.01820""}, {""title"": ""On edge-group choosability of graphs"", ""score"": 0.6763, ""arxiv_id"": ""1106.1110""}, {""title"": ""Chromatic discrepancy of locally $s$-colourable graphs"", ""score"": 0.6707, ""arxiv_id"": ""2508.02985""}, {""title"": ""Induced subgraphs of graphs with large chromatic number. II. Three steps towards Gyarfas' conjecture"", ""score"": 0.6595, ""arxiv_id"": ""1411.6465""}, {""title"": ""Proper Distinguishing Colorings with Few Colors for Graphs with Girth at Least 5"", ""score"": 0.6594, ""arxiv_id"": ""1707.05439""}, {""title"": ""Coloring some $(P_6,C_4)$-free graphs with $\u0394-1$ colors"", ""score"": 0.658, ""arxiv_id"": ""2405.18455""}, {""title"": ""Commuting graphs of completely 0-simple semigroups"", ""score"": 0.6567, ""arxiv_id"": ""2510.23871""}, {""title"": ""Edge-choosability and total-choosability of planar graphs with no adjacent 3-cycles"", ""score"": 0.6545, ""arxiv_id"": ""0512518""}]",false,top-1 score 0.7298 < 0.75,
1305.3977v1,control,1407.0626v2,Invariant Gaussian processes and independent sets on regular graphs of large girth,0.6505,Posterior Consistency for a Non-parametric Survival Model under a Gaussian Process Prior,1611.02335,"[0.6505, 0.6455, 0.6289]","[{""title"": ""Posterior Consistency for a Non-parametric Survival Model under a Gaussian Process Prior"", ""score"": 0.6505, ""arxiv_id"": ""1611.02335""}, {""title"": ""Khinchin theorem for interval exchange transformations"", ""score"": 0.6455, ""arxiv_id"": ""1003.5883""}, {""title"": ""On sampling diluted Spin Glasses using Glauber dynamics"", ""score"": 0.6289, ""arxiv_id"": ""2403.08921""}, {""title"": ""Variance bounds for Gaussian first passage percolation"", ""score"": 0.6278, ""arxiv_id"": ""2108.13916""}, {""title"": ""Non-backtracking spectra of weighted inhomogeneous random graphs"", ""score"": 0.6261, ""arxiv_id"": ""2004.07408""}, {""title"": ""Phase transition for random walks on graphs with added weighted random matching"", ""score"": 0.6254, ""arxiv_id"": ""2306.13077""}, {""title"": ""Asymptotic behaviour of high Gaussian minima"", ""score"": 0.6238, ""arxiv_id"": ""1605.03064""}, {""title"": ""Simultaneous Inference for Local Structural Parameters with Random Forests"", ""score"": 0.6219, ""arxiv_id"": ""2405.07860""}, {""title"": ""Spectral clustering in the Gaussian mixture block model"", ""score"": 0.6207, ""arxiv_id"": ""2305.00979""}]",false,top-1 score 0.6505 < 0.75,
